map_h,map_w,risk1,risk2,risk3
23,70,0.260947,0.983442,0.841788
23,71,0.231577,0.915055,0.86871
23,72,0.223537,0.820948,0.842778
23,82,0,0.000731572,0.720296
23,83,0,0.00415636,0.609793
23,84,0,0.00972381,0.497978
24,15,0.737872,0,0
24,16,0.834315,0,0
24,17,0.929248,0,0
24,34,0.962067,0.517408,0
24,41,1,0.249314,0
24,42,1,0.23524,0
24,50,0.5,0.506838,0.00186607
24,51,0.5,0.551014,6.7753e-05
24,59,0.984441,0.764351,0.250262
24,60,0.999332,0.68719,0.293662
24,61,1,0.560219,0.409053
24,62,1,0.563008,0.478697
24,63,0.999928,0.622385,0.499093
24,67,0.574713,1,0.528737
24,68,0.385214,1,0.569906
24,69,0.277615,0.999302,0.61608
24,70,0.231077,0.963812,0.668698
24,71,0.224533,0.868049,0.737679
24,72,0.225917,0.786786,0.771973
24,80,0.000538105,0.00383165,0.956574
24,81,0,0.000108139,0.87159
24,82,0,0.00360861,0.724682
24,84,0,0.0198692,0.408724
25,16,0.918915,0,0
25,17,0.981245,0,0
25,34,0.684826,0.184912,0
25,42,1,0.121667,0
25,50,0.5,0.567345,3.49341e-06
25,51,0.5,0.663125,0
25,59,0.895341,0.800213,0.250047
25,60,0.967939,0.643974,0.269848
25,61,0.998991,0.518035,0.356569
25,62,0.999968,0.510184,0.398507
25,67,0.427615,1,0.482746
25,68,0.296484,0.999947,0.486908
25,69,0.237041,0.984096,0.531403
25,70,0.231269,0.920882,0.553695
25,72,0.243144,0.733369,0.623
25,79,0.0636956,0.0855802,0.999973
25,80,0.0126043,0.0308823,0.987485
25,81,2.98615e-05,0.00333378,0.919508
25,84,0,0.0266127,0.276719
26,16,0.978758,0,0
26,17,0.999183,0,0
26,18,1,0,0
26,34,0.529027,0.0290267,0
26,43,1,0.00622449,0
26,51,0.5,0.737654,0
26,52,0.5,0.75247,7.33375e-06
26,57,0.699533,0.967198,0.25
26,58,0.761166,0.87149,0.25
26,59,0.810687,0.795732,0.25
26,60,0.875919,0.650882,0.25077
26,61,0.944205,0.524654,0.274517
26,68,0.218169,0.993489,0.407211
26,69,0.216209,0.95882,0.438501
26,70,0.235085,0.888973,0.492279
26,71,0.253922,0.782861,0.510777
26,73,0.249803,0.580136,0.637192
26,77,0.241777,0.250003,0.858815
26,78,0.190733,0.229065,0.962909
26,79,0.111699,0.144381,0.999928
26,85,8.06353e-06,0.0133485,0.0842704
26,86,4.71947e-05,0.00318717,0.0201334
27,16,0.999887,0,0
27,17,1,0,0
27,18,1,0,0
27,34,0.501745,0.00169364,0
27,43,1,9.55074e-06,0
27,52,0.498992,0.766239,3.20106e-05
27,55,0.467065,0.999677,0.210246
27,56,0.526472,0.999711,0.248814
27,57,0.616346,0.961734,0.25
27,58,0.707269,0.881263,0.25
27,59,0.763286,0.795596,0.25
27,60,0.827391,0.621212,0.25
27,61,0.864947,0.535511,0.250045
27,68,0.182039,0.948607,0.303905
27,69,0.203913,0.923692,0.343213
27,70,0.271182,0.816104,0.391556
27,71,0.326882,0.748675,0.412565
27,73,0.278239,0.536845,0.658093
27,74,0.282946,0.438395,0.720852
27,76,0.251063,0.282889,0.765277
27,77,0.246224,0.250163,0.829085
27,85,0.00544575,0.00448473,0.0317135
27,86,0.00964994,0.000726253,0.0106504
28,17,0.999952,0,0
28,18,0.999839,0,0
28,19,0.999906,0,0
28,34,0.515513,8.70532e-06,0
28,44,0.999006,0,0
28,52,0.513925,0.780864,8.36303e-06
28,53,0.37486,0.898572,0.00291852
28,54,0.34111,0.983368,0.0566279
28,55,0.396736,0.999935,0.142151
28,56,0.477759,0.999942,0.225265
28,57,0.544086,0.97597,0.249938
28,61,0.789955,0.520715,0.25
28,68,0.213707,0.905663,0.274136
28,69,0.280423,0.858719,0.293506
28,70,0.398416,0.76898,0.289272
28,71,0.434765,0.749795,0.299136
28,74,0.360338,0.461421,0.7448
28,75,0.325133,0.372793,0.749781
28,86,0.0770566,0.0045233,0.0769763
29,17,0.964809,0,0
29,18,0.963123,0,0
29,19,0.97067,0,0
29,34,0.606551,0,0
29,35,0.642213,0,0
29,44,0.959866,0,0
29,45,0.916907,0,0
29,52,0.684182,0.696937,0
29,53,0.351928,0.915165,0.000179239
29,54,0.289623,0.963736,0.0237999
29,55,0.354292,0.986534,0.102087
29,56,0.446302,0.999173,0.19629
29,61,0.709795,0.501028,0.25
29,62,0.612616,0.499991,0.25
29,68,0.360115,0.805719,0.377224
29,69,0.430286,0.769514,0.373152
29,70,0.486669,0.75026,0.334783
29,71,0.524041,0.730559,0.298784
29,74,0.458934,0.42621,0.740678
29,75,0.451042,0.380273,0.735432
29,86,0.299958,0.0115036,0.250097
29,87,0.34286,0.00919361,0.249576
30,18,0.81471,0,0
30,19,0.826243,0,0
30,34,0.717169,0,0
30,35,0.73325,0,0
30,44,0.809352,0,0
30,45,0.776622,0,0
30,50,0.964651,0.47285,0
30,51,0.951444,0.50175,0
30,52,0.778576,0.591591,0
30,53,0.393712,0.807513,0
30,54,0.262511,0.875235,0.000779989
30,62,0.564237,0.496253,0.250016
30,63,0.520343,0.490827,0.250426
30,68,0.604559,0.709859,0.542868
30,69,0.578724,0.74921,0.484392
30,70,0.580449,0.736384,0.420055
30,71,0.621522,0.678482,0.394956
30,72,0.630345,0.616978,0.40983
30,75,0.499921,0.346723,0.670495
30,85,0.425506,0.00438202,0.399782
30,86,0.412132,0.00516869,0.275764
30,87,0.433935,0.00388619,0.250061
30,88,0.481395,0.00109443,0.25
31,18,0.750901,0,0
31,19,0.751584,0,0
31,20,0.751085,0,0
31,34,0.749771,0,0
31,35,0.749955,0,0
31,45,0.727274,3.81875e-06,0
31,49,0.80075,0.300839,0
31,50,0.877964,0.390414,0
31,51,0.915735,0.481498,0
31,52,0.757087,0.563977,0
31,53,0.399405,0.702344,0
31,54,0.272975,0.735062,4.54612e-05
31,62,0.542426,0.470944,0.25053
31,63,0.533835,0.467304,0.252952
31,68,0.802535,0.631359,0.662324
31,69,0.684337,0.726606,0.585672
31,70,0.664719,0.71686,0.536486
31,71,0.703975,0.630574,0.494962
31,72,0.7268,0.552754,0.522309
31,75,0.500259,0.269283,0.513921
31,84,0.499522,2.81328e-05,0.499281
31,85,0.48779,0.00072296,0.433689
31,87,0.48936,0.000630186,0.250315
31,88,0.499504,3.01023e-05,0.250008
32,19,0.750007,0,0
32,20,0.750002,0,0
32,34,0.75,0,0
32,35,0.75,0,0
32,46,0.683601,0.00365966,0
32,47,0.711401,0.108318,0
32,48,0.748811,0.249261,0
32,49,0.756217,0.256375,0
32,50,0.78824,0.296895,0
32,54,0.26292,0.643231,0.0213178
32,55,0.250034,0.612486,0.0464486
32,63,0.668429,0.380634,0.283815
32,64,0.83085,0.30625,0.387756
32,66,0.998976,0.426458,0.676304
32,67,0.977319,0.508331,0.735624
32,68,0.909893,0.601855,0.752139
32,69,0.821992,0.703684,0.722262
32,70,0.766676,0.712611,0.666438
32,71,0.751219,0.585083,0.615424
32,72,0.75001,0.514625,0.621167
32,76,0.500146,0.249901,0.319949
32,81,0.537062,0.0370624,0.462938
32,82,0.500098,6.07613e-05,0.499977
32,83,0.500121,0,0.500121
32,87,0.527395,1.44608e-06,0.276885
32,88,0.504547,0,0.253052
33,20,0.75,0,0
33,21,0.75,0,0
33,35,0.75,0,0
33,36,0.75,0,0
33,44,0.368583,0,0
33,45,0.540105,5.40953e-06,0
33,46,0.570605,0.00362271,0
33,47,0.501344,0.0743755,0
33,48,0.559741,0.154721,0
33,55,0.25,0.51858,0.148126
33,56,0.25,0.467233,0.139215
33,63,0.923378,0.250843,0.322424
33,64,0.952951,0.250257,0.424306
33,65,0.987952,0.297829,0.53526
33,66,0.999507,0.399836,0.649793
33,68,0.961457,0.649341,0.861664
33,69,0.93034,0.729089,0.903841
33,70,0.895109,0.71854,0.866313
33,71,0.816908,0.601079,0.759236
33,72,0.770538,0.524765,0.703836
33,76,0.541896,0.20835,0.258859
33,77,0.606591,0.177924,0.250327
33,79,0.749872,0.246639,0.25052
33,80,0.728346,0.228243,0.271808
33,81,0.583932,0.0828321,0.418268
33,85,0.695121,0,0.491603
33,86,0.687236,0,0.437599
33,87,0.639557,0,0.38662
33,88,0.615325,0,0.358805
34,20,0.75,0,0
34,21,0.75,0,0
34,36,0.749361,0,0
34,43,0.258915,0,0
34,44,0.298873,0,0
34,45,0.379793,0,0
34,46,0.437782,0.000213618,0
34,47,0.281062,0.00410054,0
34,55,0.25,0.46676,0.188166
34,56,0.25,0.377993,0.118682
34,62,0.95171,0.25,0.217526
34,63,0.969969,0.25,0.295816
34,64,0.987913,0.25,0.424218
34,69,0.976148,0.751745,0.965549
34,70,0.97224,0.736881,0.915078
34,71,0.903945,0.659498,0.815005
34,72,0.84842,0.599303,0.753139
34,77,0.696339,0.0670465,0.250698
34,78,0.749116,0.0845952,0.267283
34,79,0.781123,0.167553,0.312326
34,80,0.774508,0.22284,0.302745
34,84,0.727306,0,0.637481
34,85,0.748862,0,0.520261
34,86,0.743165,0,0.493699
34,88,0.861807,0,0.605729
35,20,0.75,0,0
35,21,0.75,0,0
35,22,0.75,0,0
35,36,0.736877,0,0
35,37,0.690388,0,0
35,41,0.250012,0,0
35,42,0.25,0,0
35,43,0.250358,0,0
35,44,0.261857,0,0
35,45,0.335891,0,0
35,48,0.250096,4.77884e-05,0
35,56,0.250001,0.304176,0.0831766
35,57,0.250965,0.2516,0.0215676
35,60,0.758199,0.25,0.0173587
35,61,0.830822,0.25,0.0819873
35,69,0.98998,0.813231,0.975746
35,70,0.993272,0.782462,0.916408
35,71,0.97288,0.708946,0.783003
35,72,0.945358,0.641145,0.697179
35,76,0.793646,0.0163183,0.250037
35,77,0.757236,0.0100322,0.26788
35,78,0.794247,0.0138314,0.339287
35,82,0.762377,0,0.76233
35,83,0.750205,0,0.750162
35,84,0.74975,0,0.717192
35,88,0.954328,0,0.704309
35,89,0.999812,0,0.744095
36,20,0.75,0,0
36,21,0.75,0,0
36,22,0.75,0,0
36,37,0.637866,0,0
36,38,0.490122,0,0
36,40,0.26043,0,0
36,41,0.250051,0,0
36,42,0.25,0,0
36,43,0.25,0,0
36,48,0.25,0,0
36,49,0.250017,0,0
36,57,0.250964,0.133291,0.000651073
36,59,0.599968,0.245197,0
36,60,0.739066,0.249927,0.000878798
36,69,0.969832,0.940872,0.988342
36,70,0.976069,0.891745,0.91614
36,71,0.993439,0.698285,0.700835
36,72,0.99972,0.567732,0.568324
36,75,0.978137,0.00344611,0.250024
36,76,0.901747,7.12454e-05,0.250123
36,77,0.813874,2.09537e-05,0.285903
36,78,0.835528,3.63776e-05,0.444256
36,79,0.950772,0.000265731,0.74531
36,81,0.92417,0,0.874751
36,82,0.804746,0,0.805461
36,83,0.742878,0,0.760188
36,87,0.766298,0,0.937269
36,88,0.920327,0,0.823592
36,89,0.999786,0,0.749092
37,21,0.750034,0,0
37,22,0.75,0,0
37,23,0.750738,0,0
37,37,0.533593,0,0
37,38,0.470552,0,0
37,39,0.348437,0,0
37,40,0.267376,0,0
37,41,0.250044,0,0
37,42,0.25,0,0
37,49,0.260864,0,0
37,56,0.250001,0.0195764,3.70968e-05
37,57,0.250391,0.0349275,0
37,58,0.254834,0.0326551,0
37,69,0.963216,0.998832,0.98153
37,70,0.966186,0.93755,0.937127
37,71,0.986096,0.690965,0.696723
37,72,0.999898,0.455857,0.472221
37,73,1,0.255462,0.36099
37,74,1,0.0601885,0.269299
37,75,0.999022,0.00726755,0.250168
37,78,0.963491,0,0.830872
37,79,0.998725,0,0.937909
37,80,0.999977,0,0.952885
37,81,0.972739,0,0.956975
37,85,0.70104,0,0.944697
37,86,0.73814,0,0.989916
37,89,0.99882,0,0.751176
37,90,1,0,0.75
38,0,0.5,0,0
38,1,0.5,0,0
38,2,0.5,0,0
38,3,0.5,0,0
38,4,0.500461,0,0
38,21,0.767682,0,0
38,22,0.750626,0,0
38,23,0.764868,0,0
38,24,0.854464,0,0
38,37,0.533934,0,0
38,38,0.493574,0,0
38,39,0.430256,0,0
38,40,0.310416,0,0
38,49,0.352419,0,0
38,50,0.422893,0,0
38,55,0.25,0,0
38,56,0.25,4.14014e-05,0
38,57,0.250651,0.000245012,0
38,58,0.26998,0.000689741,0
38,69,0.972392,0.989618,0.919657
38,70,0.967573,0.923917,0.9289
38,71,0.990086,0.558113,0.621272
38,72,0.999978,0.384775,0.459875
38,73,1,0.235852,0.41528
38,74,1,0.0425465,0.317385
38,79,1,0,0.983188
38,80,0.999863,0,0.992663
38,84,0.535148,0,0.779731
38,85,0.657247,0,0.909683
38,89,0.999872,0,0.750128
38,90,1,0,0.75
39,5,0.920829,0,0
39,6,0.99993,0,0
39,7,1,0,0
39,8,1,0,0
39,9,1,0,0
39,10,1,0,0
39,11,1,0,0
39,12,1,0,0
39,13,1,0,0
39,14,1,0,0
39,15,1,0,0
39,16,1,0,0
39,17,1,0,0
39,18,0.999987,0,0
39,23,0.79654,0,0
39,24,0.927723,0,0
39,25,0.992308,0,0
39,26,0.999982,0,0
39,34,0.999963,0,0
39,35,0.986465,0,0
39,36,0.869557,0,0
39,37,0.605089,0,0
39,38,0.50334,0,0
39,50,0.488788,0,0
39,51,0.499141,0,0
39,53,0.28317,0,0
39,54,0.250189,0,0
39,59,0.456963,9.13899e-06,0
39,68,0.992288,0.979546,0.795796
39,69,0.987796,0.897204,0.824119
39,70,0.989692,0.629878,0.793615
39,71,0.999391,0.225446,0.626235
39,72,1,0.173092,0.51604
39,73,1,0.0637759,0.489777
39,80,0.99942,0,0.999694
39,81,0.870429,0,0.935232
39,82,0.571814,0,0.786006
39,83,0.500396,0,0.75066
39,89,0.999963,0,0.749963
39,90,0.999844,0,0.749844
40,5,0.920465,0,0
40,6,0.998872,0,0
40,18,1,0,0
40,19,0.99986,0,0
40,20,0.994912,0,0
40,21,0.954995,0,0
40,22,0.844238,0,0
40,25,0.999691,0,0
40,26,1,0,0
40,27,1,0,0
40,28,0.999928,0,0
40,32,0.810098,0,0
40,33,0.966441,0,0
40,34,0.999409,0,0
40,35,0.999455,0,0
40,36,0.971705,0,0
40,50,0.510751,0,0
40,51,0.517527,0,0
40,52,0.507932,0,0
40,59,0.49796,0,3.56612e-05
40,65,0.480196,0.480196,0.480038
40,66,0.612263,0.612263,0.555752
40,67,0.910461,0.910059,0.70523
40,70,0.999979,0.1777,0.742976
40,71,1,0.0604584,0.711094
40,72,1,0.0373957,0.628645
40,73,1,0.0195658,0.528626
40,74,1,0.00415306,0.500987
40,80,0.9972,0,0.998556
40,81,0.865389,0,0.942055
40,90,0.968988,0,0.719006
41,5,0.754669,0,0
41,6,0.922691,0,0
41,26,0.997037,0,0
41,27,0.999255,0,0
41,28,0.999648,0,0
41,29,0.932168,0,0
41,31,0.75047,0,0
41,32,0.755561,0,0
41,33,0.848565,0,0
41,34,0.980748,0,0
41,35,0.998742,0,0
41,50,0.59902,0,0
41,51,0.622264,0,0
41,59,0.499998,0,0.0140371
41,60,0.499979,2.05606e-05,0.0313001
41,64,0.355529,0.355529,0.355529
41,65,0.41074,0.41074,0.41074
41,66,0.482637,0.482637,0.479099
41,70,1,0.0293105,0.749818
41,71,1,0.0159196,0.744499
41,72,0.999989,0.00743243,0.712526
41,73,0.999917,0.00287209,0.617453
41,74,0.999766,0.000185619,0.524819
41,79,0.93365,0,0.867607
41,80,0.923372,0,0.960396
41,81,0.623447,0,0.873893
41,90,0.824952,0,0.58575
42,4,0.75,0,0
42,5,0.75,0,0
42,28,0.990958,0,0
42,29,0.980876,0,0
42,30,0.871354,0,0
42,31,0.760911,0,0
42,32,0.745965,0,0
42,33,0.76166,0,0
42,48,0.74905,0,0
42,49,0.733379,0,0
42,52,0.815453,0,0
42,60,0.498392,0.000105205,0.134707
42,61,0.418544,0.0293709,0.222337
42,62,0.274718,0.123971,0.249939
42,63,0.251077,0.202954,0.251017
42,64,0.27735,0.275039,0.27735
42,71,0.999583,0.00243287,0.750089
42,72,0.994947,0.000141142,0.746019
42,73,0.97444,8.75158e-06,0.715624
42,74,0.924964,0,0.650456
42,77,0.750002,0,0.501066
42,78,0.751514,0,0.503028
42,79,0.807305,0,0.617122
42,82,0.252077,0,0.750715
42,83,0.250291,0,0.750231
42,90,0.682014,0,0.499032
42,91,0.621225,0,0.461788
43,4,0.75,0,0
43,28,0.941582,0,0
43,29,0.997635,0,0
43,30,0.971006,0,0
43,31,0.825324,0,0
43,32,0.706198,0,0
43,33,0.590771,0,0
43,47,0.694466,0,0
43,48,0.738015,0,0
43,52,0.920077,0,0
43,60,0.468252,2.14482e-05,0.234081
43,61,0.352714,0.00714392,0.249423
43,62,0.276693,0.0462384,0.25
43,63,0.250158,0.0997102,0.25
43,71,0.951619,6.50045e-06,0.793591
43,72,0.944143,0,0.771281
43,73,0.881005,0,0.750826
43,74,0.777285,0,0.748714
43,76,0.750024,0,0.621246
43,77,0.75,0,0.523548
43,82,0.25,0,0.770333
43,83,0.25,0,0.796051
43,89,0.571575,0,0.499926
43,90,0.588655,0,0.470211
43,91,0.311228,0,0.359405
44,3,0.75,0,0
44,4,0.75,0,0
44,26,0.500352,0,0
44,27,0.639281,0,0
44,28,0.907678,0,0
44,29,0.999332,0,0
44,31,0.893877,0,0
44,32,0.574689,0,0
44,33,0.437119,0,0
44,34,0.324213,0,0
44,35,0.269071,0,0
44,46,0.521958,0,0
44,47,0.595893,0,0
44,53,0.990058,0,0
44,59,0.518483,0,0.249795
44,60,0.442184,0,0.249965
